date,BTC,ETH,OKB
2018-04-06,6700.00,400.00,1.5000
2018-04-13,6887.53,383.70,1.4136
2018-04-20,6771.91,393.22,1.4799
2018-04-27,7040.98,359.71,1.7486
2018-05-04,7338.51,402.65,1.4206
2018-05-11,6911.70,400.71,1.5468
2018-05-18,6967.84,427.47,1.3191
2018-05-25,7534.57,436.45,1.3786
2018-06-01,7365.53,480.04,1.5624
2018-06-08,7071.70,460.67,1.2822
2018-06-15,7420.83,425.15,1.5309
2018-06-22,7188.78,420.76,1.3952
2018-06-29,7246.49,461.89,1.2450
2018-07-06,7288.03,392.55,1.3421
2018-07-13,6415.10,446.25,1.3427
2018-07-20,6246.08,400.53,1.2734
2018-07-27,6343.24,336.68,1.0284
2018-08-03,6007.17,288.05,1.0816
2018-08-10,6132.60,328.19,1.0981
2018-08-17,5624.87,279.45,1.0855
2018-08-24,5312.75,283.43,1.1184
2018-08-31,5778.91,219.70,1.0520
2018-09-07,5210.76,219.49,0.8996
2018-09-14,5092.55,212.96,1.0152
2018-09-21,4613.58,199.13,1.0073
2018-09-28,4626.93,179.77,0.9776
2018-10-05,4591.25,179.56,0.9916
2018-10-12,4202.02,149.93,0.9482
2018-10-19,4326.39,148.75,0.8973
2018-10-26,4010.63,141.08,0.8377
2018-11-02,3922.97,134.87,0.7090
2018-11-09,3738.27,127.32,0.8281
2018-11-16,3985.52,105.31,0.7927
2018-11-23,3571.66,95.42,0.7764
2018-11-30,3299.07,106.84,0.6625
2018-12-07,3444.65,94.03,0.6571
2018-12-14,3053.43,81.72,0.7634
2018-12-21,3307.96,96.36,0.7119
2018-12-28,3121.11,93.08,0.7699
2019-01-04,3298.91,103.30,0.7499
2019-01-11,3608.83,101.64,0.7677
2019-01-18,3793.34,118.46,0.8415
2019-01-25,3822.07,122.02,0.7701
2019-02-01,3891.72,114.34,0.8276
2019-02-08,3978.02,128.14,0.8105
2019-02-15,3906.31,131.71,0.8315
2019-02-22,4147.81,143.33,0.8597
2019-03-01,4314.94,131.38,0.9175
2019-03-08,4709.51,151.25,0.8886
2019-03-15,4719.93,161.51,1.0376
2019-03-22,4467.27,143.27,0.8996
2019-03-29,5000.00,155.42,0.9756
2019-04-05,5151.16,155.41,0.9809
2019-04-12,5508.46,183.61,1.1616
2019-04-19,6245.20,205.77,1.0894
2019-04-26,6852.73,227.53,1.1913
2019-05-03,7380.64,223.34,1.0023
2019-05-10,7472.29,257.60,1.1891
2019-05-17,8240.13,230.62,1.2801
2019-05-24,9120.13,239.73,1.2383
2019-05-31,10089.94,280.47,1.3695
2019-06-07,10339.34,304.87,1.2474
2019-06-14,11299.15,315.87,1.4823
2019-06-21,11794.02,296.35,1.6185
2019-06-28,12281.17,343.01,1.3496
2019-07-05,12841.60,300.25,1.3036
2019-07-12,12666.51,323.71,1.4752
2019-07-19,11542.16,301.57,1.4499
2019-07-26,11639.98,263.10,1.1962
2019-08-02,10949.43,256.84,1.1752
2019-08-09,10135.33,235.07,1.1580
2019-08-16,10203.15,238.15,1.0270
2019-08-23,10322.49,240.62,1.0395
2019-08-30,9353.64,201.93,1.0047
2019-09-06,9629.00,210.89,0.9991
2019-09-13,7781.59,187.46,1.0356
2019-09-20,8713.47,174.85,1.0309
2019-09-27,8183.99,176.76,1.1116
2019-10-04,7808.85,163.33,0.8835
2019-10-11,7694.69,165.11,1.0148
2019-10-18,6822.85,155.21,0.9002
2019-10-25,7140.71,183.90,0.8905
2019-11-01,7089.57,161.22,0.9208
2019-11-08,7186.95,150.91,0.7731
2019-11-15,6427.27,156.54,0.8569
2019-11-22,6155.35,150.39,0.8218
2019-11-29,6046.08,146.41,0.8231
2019-12-06,6211.98,150.92,0.7903
2019-12-13,5882.39,149.16,0.9050
