组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['STX', 'ENTG', 'CCL', 'PLUG']",18.399652091694648,-0.862273893292298,16.732206689999337,19.702854049895553,0.3115354654582248,65.83758146920493,6.500058297329223,-0.8195631537407877,21.666666666666668
"['NFLX', 'PLUG', '688_HK', 'AMD_US']",17.82622310800376,-1.127379602391776,67.75014764374102,80.81192881622924,0.0965476086841171,64.15482955416297,11.845728367464277,-0.7063163327979912,19.5
"['USO', 'SMCI', 'BIDU', 'PLUG']",18.292332176507415,-2.0986322336919994,13.695605683979931,19.52445869902583,0.180520392966632,66.0141797855543,9.021745711804156,-0.6946884443043337,19.5
"['AIG', 'PLUG', 'EBAY', '3328_HK']",17.214690794221895,-2.7761608299438745,3.401187419293337,5.893575327972433,0.1810081690211798,59.55210858314278,2.5137279319592256,-0.6785512847441748,21.25
"['AIG', 'PLUG', '1088_HK', '2331_HK']",17.902952817337674,-3.159990822053249,4.3579010944763965,8.080784024425695,0.14327714636035074,62.07390513016813,2.8537423198844225,-0.7302474315063777,21.25
"['AIG', 'PLUG', '2331_HK', 'XAU']",17.479747368442744,-3.20837459242056,4.8633816130316685,8.97881135548156,0.04684951813691159,59.378607004513604,2.196587721279048,-0.7141393821078529,20.916666666666668
"['V', 'PLUG', 'CELH', 'XPT']",19.582269495644038,-3.3959837066971366,23.52912995546436,38.69597781927688,0.12425353890257713,62.84365194368209,6.38689264260887,-0.6831193952946538,17.75
"['REGN', 'AA', 'FSLR', 'PLUG']",18.48069522650823,-3.4798761620731034,11.638721287169691,21.22098045309376,0.16046157137746972,66.7880722940496,9.334642872265935,-0.6814123192601333,19.833333333333332
"['AIG', 'PLUG', 'IBB', '2600_HK']",17.61691754160219,-3.6837122904802344,2.7788283643928957,5.872737259270454,0.1291987503716873,60.32792437338783,6.693580651897545,-0.7421669636341357,21.666666666666668
"['SMCI', 'BIDU', 'PLUG', '386_HK']",17.274591521544906,-3.7168323805094605,14.114733098565088,26.30989763978819,0.18018110824041675,61.1707146263391,7.718348092659976,-0.685742947933406,19.5
"['UNG', 'UEC', 'PLUG', '981_HK']",21.223733686719903,-3.87756879077652,1.9413348341959151,3.965692098270362,0.09639733156557607,72.97128309171053,5.460976375607198,-0.8189330207153607,19.416666666666668
"['PLUG', 'KDP', '1211_HK', 'AMD_US']",17.945773301837033,-4.006248019545189,24.690630580914398,45.4284949209857,0.10322149791139441,65.65092883279597,7.926729294021166,-0.6289246464966745,18.416666666666668
"['PLUG', 'MSTR', 'DD', 'KCL']",17.37154257603008,-4.281631004880149,6.088136127952739,13.627638470805026,0.09358145952103791,61.370932801545244,11.227387853230763,-0.6046672710692786,20.916666666666668
"['CLF', 'PLUG', '2018_HK', '2333_HK']",19.313605215377645,-4.307308879083416,12.911538147026683,28.43206043669095,0.1937907396591183,67.83680933148649,4.2969361275456315,-0.7379521686233377,21.083333333333332
"['SMCI', 'ISRG', 'PLUG', '2319_HK']",17.265608230946736,-4.348302961844208,18.20869153074102,37.30838370206263,0.1306138208235039,62.09056641147866,3.2010611751819,-0.6778802113787811,19.5
"['CLF', 'PLUG', 'IBB', 'AMD_US']",19.352797709469964,-4.393050988731684,11.228793836249,23.591626209220674,0.19675890684919992,66.88284084062406,8.836676194874482,-0.700531329854727,19.5
"['EEM', 'AMAT', 'UEC', 'PLUG']",18.33685581333831,-4.6325462998645595,8.315448416252519,17.784246812337994,0.27526333412047893,63.60378655236518,11.233110531723954,-0.6531488480870888,18.75
"['XLE', 'CAT', 'PLUG', 'MOD']",17.34786508360644,-4.655517307395085,6.78932348033373,16.76966597453986,0.3602898337535881,59.75695604635279,3.882996630906888,-0.6442171344352041,21.666666666666668
"['AIG', 'EXPE', 'PLUG', 'FISH_MEAL']",17.70042358858278,-4.74075956383333,2.163333527675847,5.381727002301068,0.08251232571147753,61.07292757300941,4.136972078529497,-0.5331788923837466,20.416666666666668
"['ISRG', 'PLUG', 'MSTR', 'XBI']",17.142764066072996,-4.748191042409533,14.410065390493797,33.41581646538647,0.22191990942708903,60.521345218365894,3.069362107550888,-0.6258703242944115,20.583333333333332
"['AIG', 'EXPE', 'PLUG', 'TEA_MOMBASA']",17.94187083150068,-4.857380812381273,1.8667667176457963,4.778334843374083,0.10655770657261943,62.68131667122879,7.159544848039329,-0.5937107279489365,20.416666666666668
"['PLUG', 'NYT', 'MSTR', '2333_HK']",18.40020017978425,-4.983388932722854,12.076898457167907,30.968965328902453,0.1620730218770101,64.64252760309802,2.9060213521874707,-0.7502851545712523,21.666666666666668
"['PLUG', 'MSTR', 'WIT', '2020_HK']",17.206049703356864,-5.205733439295113,8.132127191660944,19.49185940501821,0.1657227213772747,62.917629718843024,3.0886876961363177,-0.6435254081071887,19.166666666666668
"['SNPS', 'PLUG', 'MOD', 'XHB']",17.16795498308727,-5.249039719895099,6.746630805613246,17.65361900767541,0.2925579694309776,60.002041544006914,3.8558784059635207,-0.6924673281784332,20.583333333333332
"['F', 'PLUG', 'MSTR', '763_HK']",18.507416781648832,-5.251707274541961,5.877613238124865,16.364641384013833,0.17863631100370334,65.20198838232417,6.467166998362617,-0.6909750005490034,21.666666666666668
