src,id,name,usable,rows,start,end,last,group
FRED,IR14270,黄金_指数1973起,OK,396.0,1992-12-01,2026-07-01,156.3,
FRED,GOLDPMGBD228NLBM,黄金_伦敦PM2015起,FAIL,,,,,
FRED,SLVPRUSD,白银_2015起,FAIL,,,,,
FRED,IQ12260,黄金_alt,OK,428.0,1984-12-01,2026-07-01,154.8,
FRED,GOLDPMGBD228NLBMEU,黄金_欧元计价,FAIL,,,,,
FRED,SLVPRUSDEU,白银_欧元计价,FAIL,,,,,
FRED,PCRETT01USM661N,黄金_其它,FAIL,,,,,
FRED,PPLTUSDM,铂金_2015起,FAIL,,,,,
FRED,PALLUSDM,钯金_2015起,FAIL,,,,,
FRED,PPLSTERUSDM,铂金_英镑,FAIL,,,,,
Yahoo,GC=F,黄金期货,EMPTY,,,,,precious
Yahoo,SI=F,白银期货,EMPTY,,,,,precious
Yahoo,PL=F,铂金期货,EMPTY,,,,,precious
Yahoo,PA=F,钯金期货,EMPTY,,,,,precious
Yahoo,HG=F,铜期货,EMPTY,,,,,industrial
Yahoo,ALI=F,铝期货,EMPTY,,,,,industrial
Yahoo,GLD,黄金ETF,EMPTY,,,,,precious
Yahoo,IAU,黄金ETF2,EMPTY,,,,,precious
Yahoo,SLV,白银ETF,EMPTY,,,,,precious
Yahoo,PPLT,铂金ETF,EMPTY,,,,,precious
Yahoo,PALL,钯金ETF,EMPTY,,,,,precious
Yahoo,CPER,铜ETF,EMPTY,,,,,industrial
Yahoo,DBB,基础金属ETF,EMPTY,,,,,industrial
Yahoo,JJU,铜ETN,EMPTY,,,,,industrial
Yahoo,XME,金属矿业股,EMPTY,,,,,industrial
Yahoo,GDX,金矿股,EMPTY,,,,,precious
Yahoo,GDXJ,小金矿股,EMPTY,,,,,precious
Yahoo,DBC,综合商品ETF,EMPTY,,,,,index
Yahoo,GSG,综合商品ETF2,EMPTY,,,,,index
Yahoo,USO,原油ETF,EMPTY,,,,,energy
Yahoo,BNO,布伦特ETF,EMPTY,,,,,energy
Yahoo,UNG,天然气ETF,EMPTY,,,,,energy
Yahoo,XLE,能源股ETF,EMPTY,,,,,energy
Yahoo,DBA,农业ETF,EMPTY,,,,,agri
Yahoo,CORN,玉米ETF,EMPTY,,,,,agri
Yahoo,WEAT,小麦ETF,EMPTY,,,,,agri
Yahoo,SOYB,大豆ETF,EMPTY,,,,,agri
Yahoo,NIB,可可ETF,EMPTY,,,,,agri
Yahoo,JO,咖啡ETF,EMPTY,,,,,agri
Yahoo,BAL,棉花ETF,EMPTY,,,,,agri
Yahoo,CANE,糖ETF,EMPTY,,,,,agri
